SubmittedBy,SubmittedAt,MatchID,MatchDateTime,Timer,Map,Mode,Team 1 Score,Team2 Score,P1 Splashtag,P1 Weapon,P1 KA,P1 Assists,P1 Deaths,P1 Special,P1 #Specials,P1 Paint,P2 Splashtag,P2 Weapon,P2 KA,P2 Assists,P2 Deaths,P2 Special,P2 #Specials,P2 Paint,P3 Splashtag,P3 Weapon,P3 KA,P3 Assists,P3 Deaths,P3 Special,P3 #Specials,P3 Paint,P4 Splashtag,P4 Weapon,P4 KA,P4 Assists,P4 Deaths,P4 Special,P4 #Specials,P4 Paint,P5 Splashtag,P5 Weapon,P5 KA,P5 Assists,P5 Deaths,P5 Special,P5 #Specials,P5 Paint,P6 Splashtag,P6 Weapon,P6 KA,P6 Assists,P6 Deaths,P6 Special,P6 #Specials,P6 Paint,P7 Splashtag,P7 Weapon,P7 KA,P7 Assists,P7 Deaths,P7 Special,P7 #Specials,P7 Paint,P8 Splashtag,P8 Weapon,P8 KA,P8 Assists,P8 Deaths,P8 Special,P8 #Specials,P8 Paint 
Asterum,2024-02-06T04:37:54.607Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDEwN1QxODQzNTFfNGIwZDZjNmMtNTlkMy00ZGMxLWFkNzEtNmU2NTUyNDMyMTE5,2024-01-07T18:43:51Z,4:21,MakoMart,Clam Blitz,0,100,△↑ Asterum#2660,Splattershot Nova,14,4,6,Killer Wail 5.1,7,1475,△↑ Mizu№#7923,Splat Brella,5,4,3,Triple Inkstrike,7,1352,△↑ Koreki#9390,Splatana Wiper,12,9,1,Ultra Stamp,5,974,,,,,,,,,Nuni#2302,Slosher,7,3,0,Triple Inkstrike,5,1419,маттнeway#1076,Splattershot Nova,8,5,2,Killer Wail 5.1,4,1147,♭ ∞Code™#2176,Splat Brella,4,7,4,Triple Inkstrike,2,859,ari.⌒☆#1763,Splatana Wiper,5,6,1,Ultra Stamp,2,845
Asterum,2024-02-06T04:39:17.999Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDIzMTIyMFQwNDMwNDlfMGEwODIyZjYtZTI0ZC00YTRhLWI5YjYtNDRhNGU1MjVkZWQ4,2023-12-20T04:30:49Z,5:01,Undertow Spillway,Rainmaker,38,58,lu Drag?#2358,Carbon Roller Deco,14,12,1,Trizooka,3,1270,△↑gaysicle#1673,Tenta Sorella Brella,9,10,2,Trizooka,5,1196,△↑ Koreki#9390,N-ZAP '85,9,10,6,Tacticooler,4,1453,△↑ Asterum#2660,E-liter 4K,12,7,2,Wave Breaker,4,921,5bodysleft#1322,N-ZAP '89,18,4,2,Super Chump,6,1805,»Rose»#8549,Tri-Slosher Nouveau,7,10,2,Tacticooler,2,1087,woop.exe#,Splattershot Jr.,11,8,2,Big Bubbler,4,1649,Jess#14805,Inkbrush,9,11,1,Killer Wail 5.1,3,845
Asterum,2024-02-06T04:39:17.999Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDIzMTIyMFQwNDI1MzNfMGEwODIyZjYtZTI0ZC00YTRhLWI5YjYtNDRhNGU1MjVkZWQ4,2023-12-20T04:25:33Z,3:05,Bluefin Depot,Tower Control,0,100,△↑gaysicle#1673,Sloshing Machine Neo,10,6,2,Trizooka,1,586,△↑ Koreki#9390,N-ZAP '85,6,7,4,Tacticooler,3,810,lu Drag?#2358,Carbon Roller Deco,10,6,2,Trizooka,2,651,△↑ Asterum#2660,E-liter 4K,5,3,1,Wave Breaker,2,445,»Rose»#8549,N-ZAP '85,7,4,5,Tacticooler,4,730,Jess#14805,Inkbrush,12,6,1,Killer Wail 5.1,3,569,5bodysleft#1322,Slosher,8,6,2,Triple Inkstrike,3,728,woop.exe#,Ballpoint Splatling,4,7,1,Inkjet,2,550
Asterum,2024-02-06T04:39:17.999Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDIzMTIyMFQwNDE3MzhfMGEwODIyZjYtZTI0ZC00YTRhLWI5YjYtNDRhNGU1MjVkZWQ4,2023-12-20T04:17:38Z,5:13,Humpback Pump Track,Clam Blitz,59,60,△↑gaysicle#1673,Tenta Sorella Brella,12,6,2,Trizooka,4,1239,△↑ Asterum#2660,E-liter 4K,11,6,1,Wave Breaker,2,830,lu Drag?#2358,Carbon Roller Deco,10,10,1,Trizooka,4,993,△↑ Koreki#9390,N-ZAP '85,9,12,6,Tacticooler,3,1178,Jess#14805,Squeezer,17,6,5,Trizooka,1,944,»Rose»#8549,Tri-Slosher Nouveau,8,9,0,Tacticooler,3,1151,woop.exe#,Inkbrush Nouveau,11,10,4,Ultra Stamp,3,1063,5bodysleft#1322,Custom Blaster,9,7,2,Triple Splashdown,3,963
Asterum,2024-02-06T04:39:17.999Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDIzMTIyMFQwNDEwMjNfMGEwODIyZjYtZTI0ZC00YTRhLWI5YjYtNDRhNGU1MjVkZWQ4,2023-12-20T04:10:23Z,4:32,Scorch Gorge,Rainmaker,0,100,lu Drag?#2358,Carbon Roller Deco,13,11,5,Trizooka,3,847,△↑ Koreki#9390,N-ZAP '85,10,9,6,Tacticooler,5,1277,△↑ Asterum#2660,E-liter 4K,8,7,2,Wave Breaker,2,686,△↑gaysicle#1673,Tenta Sorella Brella,8,9,3,Trizooka,3,1055,Jess#14805,Squeezer,20,4,7,Trizooka,2,946,»Rose»#8549,Tri-Slosher Nouveau,6,5,4,Tacticooler,3,1124,5bodysleft#1322,Custom Blaster,16,6,4,Triple Splashdown,3,1038,woop.exe#,Inkbrush Nouveau,12,8,3,Ultra Stamp,3,1095
Asterum,2024-02-06T04:50:32.817Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjM1MzZfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:35:36Z,5:05,Inkblot Art Academy,Tower Control,51,59,△↑gaysicle#1673,Tenta Sorella Brella,16,8,6,Trizooka,5,1306,△↑ Koreki#9390,Sloshing Machine,11,10,3,Booyah Bomb,2,1169,△↑ Mizu№#7923,N-ZAP '85,11,10,3,Tacticooler,4,1416,△↑ Asterum#2660,Splat Roller,10,10,1,Big Bubbler,2,832,tori#2690,Splattershot,16,6,4,Trizooka,6,1439,Petey!?#3202,Tri-Slosher Nouveau,14,11,2,Tacticooler,3,1240,cosmicx#9380,Blaster,12,9,4,Big Bubbler,2,782,ΧerΦ#1995,Splatana Wiper,9,9,3,Ultra Stamp,6,1419
Asterum,2024-02-06T04:50:32.817Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjI4MjZfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:28:26Z,5:21,Um'ami Ruins,Clam Blitz,85,91,△↑ Asterum#2660,Splat Roller,21,15,4,Big Bubbler,2,935,△↑ Mizu№#7923,N-ZAP '85,16,8,7,Tacticooler,5,1272,△↑gaysicle#1673,Tenta Sorella Brella,15,8,8,Trizooka,5,1379,△↑ Koreki#9390,Sloshing Machine,10,10,3,Booyah Bomb,5,1322,Petey!?#3202,Tri-Slosher Nouveau,19,10,9,Tacticooler,4,1356,cosmicx#9380,Blaster,15,8,6,Big Bubbler,2,1023,tori#2690,Splattershot,16,10,2,Trizooka,5,1340,ΧerΦ#1995,Splatana Wiper,13,12,5,Ultra Stamp,4,1339
Asterum,2024-02-06T04:50:32.817Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjIwMjJfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:20:22Z,5:19,Crableg Capital,Rainmaker,50,96,△↑ Asterum#2660,E-liter 4K,12,5,1,Wave Breaker,5,1230,△↑ Koreki#9390,Splatana Wiper,12,13,4,Ultra Stamp,6,1125,△↑ Mizu№#7923,Tri-Slosher Nouveau,11,12,4,Tacticooler,4,1167,△↑gaysicle#1673,Tenta Sorella Brella,5,9,2,Trizooka,5,1351,ΧerΦ#1995,Splatana Wiper,19,8,6,Ultra Stamp,4,1770,cosmicx#9380,Squeezer,9,6,2,Trizooka,1,789,tori#2690,Splattershot,10,6,0,Trizooka,5,1273,Petey!?#3202,Tri-Slosher Nouveau,13,9,5,Tacticooler,4,1258
Asterum,2024-02-06T04:50:32.817Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjEyMzNfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:12:33Z,5:20,Flounder Heights,Splat Zones,66,46,△↑ Koreki#9390,Sloshing Machine,18,9,7,Booyah Bomb,4,1350,△↑gaysicle#1673,Tenta Brella,12,5,4,Ink Vac,5,1191,△↑ Asterum#2660,Dapple Dualies,11,11,2,Tacticooler,2,878,△↑ Mizu№#7923,Tentatek Splattershot,11,13,2,Triple Inkstrike,4,1100,cosmicx#9380,.52 Gal,16,10,2,Killer Wail 5.1,3,1108,ΧerΦ#1995,Splattershot,12,7,3,Trizooka,4,1409,Petey!?#3202,Tri-Slosher Nouveau,14,11,5,Tacticooler,3,1094,tori#2690,S-BLAST '91,9,9,3,Booyah Bomb,4,1006
Asterum,2024-02-06T04:50:32.817Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjA4MzlfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:08:39Z,1:17,Sturgeon Shipyard,Tower Control,100,0,△↑ Koreki#9390,Hero Shot Replica,8,0,2,Trizooka,3,584,△↑ Mizu№#7923,Tri-Slosher Nouveau,5,1,3,Tacticooler,1,362,△↑gaysicle#1673,Tenta Sorella Brella,5,2,2,Trizooka,1,343,△↑ Asterum#2660,Splat Roller,5,3,0,Big Bubbler,1,317,ΧerΦ#1995,Splatana Wiper,3,5,1,Ultra Stamp,0,310,tori#2690,Enperry Splat Dualies,2,4,0,Triple Splashdown,0,258,cosmicx#9380,Splattershot,2,4,1,Trizooka,0,248,Petey!?#3202,Tri-Slosher Nouveau,1,3,0,Tacticooler,0,309
Asterum,2024-02-06T04:50:32.817Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMTU0MzRfMjJjYTc0YjgtZTcwZC00Y2EyLWJhYzEtNDI5N2E1NjM3ODRk,2024-01-19T01:54:34Z,1:33,Museum d'Alfonsino,Tower Control,100,0,△↑gaysicle#1673,Tenta Sorella Brella,6,0,3,Trizooka,2,422,△↑ Koreki#9390,Splatana Wiper,7,1,2,Ultra Stamp,2,414,△↑ Mizu№#7923,Tri-Slosher Nouveau,6,2,3,Tacticooler,1,357,△↑ Asterum#2660,E-liter 4K,2,2,0,Wave Breaker,1,322,SS★Minty!#1218,N-ZAP '85,2,3,1,Tacticooler,2,539,(A)#1410,Splattershot,2,4,0,Trizooka,1,388,ζ♭Stαr#9974,Splatana Stamper,2,5,0,Zipcaster,1,398,cfιτ☆りんご#,E-liter 4K Scope,undefined,undefined,undefined,Wave Breaker,undefined,0
Asterum,2024-02-06T04:54:50.665Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjQzMjNfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:43:23Z,3:15,Mahi-Mahi Resort,Splat Zones,0,100,△↑ Asterum#2660,Hydra Splatling,8,4,1,Booyah Bomb,4,931,△↑ Koreki#9390,Hero Shot Replica,8,7,1,Trizooka,4,936,△↑ Mizu№#7923,N-ZAP '85,4,7,3,Tacticooler,3,898,△↑gaysicle#1673,Squeezer,7,9,0,Trizooka,2,598,tori#2690,Splattershot,15,5,2,Trizooka,4,973,Petey!?#3202,Tri-Slosher Nouveau,12,5,7,Tacticooler,3,884,ΧerΦ#1995,Splatana Wiper,7,5,2,Ultra Stamp,3,973,cosmicx#9380,Range Blaster,5,7,1,Wave Breaker,2,581
Asterum,2024-02-06T04:54:50.665Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjM1MzZfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:35:36Z,5:05,Inkblot Art Academy,Tower Control,51,59,△↑gaysicle#1673,Tenta Sorella Brella,16,8,6,Trizooka,5,1306,△↑ Koreki#9390,Sloshing Machine,11,10,3,Booyah Bomb,2,1169,△↑ Mizu№#7923,N-ZAP '85,11,10,3,Tacticooler,4,1416,△↑ Asterum#2660,Splat Roller,10,10,1,Big Bubbler,2,832,tori#2690,Splattershot,16,6,4,Trizooka,6,1439,Petey!?#3202,Tri-Slosher Nouveau,14,11,2,Tacticooler,3,1240,cosmicx#9380,Blaster,12,9,4,Big Bubbler,2,782,ΧerΦ#1995,Splatana Wiper,9,9,3,Ultra Stamp,6,1419
Asterum,2024-02-06T04:54:50.665Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjI4MjZfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:28:26Z,5:21,Um'ami Ruins,Clam Blitz,85,91,△↑ Asterum#2660,Splat Roller,21,15,4,Big Bubbler,2,935,△↑ Mizu№#7923,N-ZAP '85,16,8,7,Tacticooler,5,1272,△↑gaysicle#1673,Tenta Sorella Brella,15,8,8,Trizooka,5,1379,△↑ Koreki#9390,Sloshing Machine,10,10,3,Booyah Bomb,5,1322,Petey!?#3202,Tri-Slosher Nouveau,19,10,9,Tacticooler,4,1356,cosmicx#9380,Blaster,15,8,6,Big Bubbler,2,1023,tori#2690,Splattershot,16,10,2,Trizooka,5,1340,ΧerΦ#1995,Splatana Wiper,13,12,5,Ultra Stamp,4,1339
Asterum,2024-02-06T04:54:50.665Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjIwMjJfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:20:22Z,5:19,Crableg Capital,Rainmaker,50,96,△↑ Asterum#2660,E-liter 4K,12,5,1,Wave Breaker,5,1230,△↑ Koreki#9390,Splatana Wiper,12,13,4,Ultra Stamp,6,1125,△↑ Mizu№#7923,Tri-Slosher Nouveau,11,12,4,Tacticooler,4,1167,△↑gaysicle#1673,Tenta Sorella Brella,5,9,2,Trizooka,5,1351,ΧerΦ#1995,Splatana Wiper,19,8,6,Ultra Stamp,4,1770,cosmicx#9380,Squeezer,9,6,2,Trizooka,1,789,tori#2690,Splattershot,10,6,0,Trizooka,5,1273,Petey!?#3202,Tri-Slosher Nouveau,13,9,5,Tacticooler,4,1258
Asterum,2024-02-06T04:54:50.665Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjEyMzNfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:12:33Z,5:20,Flounder Heights,Splat Zones,66,46,△↑ Koreki#9390,Sloshing Machine,18,9,7,Booyah Bomb,4,1350,△↑gaysicle#1673,Tenta Brella,12,5,4,Ink Vac,5,1191,△↑ Asterum#2660,Dapple Dualies,11,11,2,Tacticooler,2,878,△↑ Mizu№#7923,Tentatek Splattershot,11,13,2,Triple Inkstrike,4,1100,cosmicx#9380,.52 Gal,16,10,2,Killer Wail 5.1,3,1108,ΧerΦ#1995,Splattershot,12,7,3,Trizooka,4,1409,Petey!?#3202,Tri-Slosher Nouveau,14,11,5,Tacticooler,3,1094,tori#2690,S-BLAST '91,9,9,3,Booyah Bomb,4,1006
Asterum,2024-02-06T04:54:50.665Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMjA4MzlfMzgwZWNiZGQtNDQzOS00Njc1LWE2ZjUtOGYwNzZjYWVmNmM4,2024-01-19T02:08:39Z,1:17,Sturgeon Shipyard,Tower Control,100,0,△↑ Koreki#9390,Hero Shot Replica,8,0,2,Trizooka,3,584,△↑ Mizu№#7923,Tri-Slosher Nouveau,5,1,3,Tacticooler,1,362,△↑gaysicle#1673,Tenta Sorella Brella,5,2,2,Trizooka,1,343,△↑ Asterum#2660,Splat Roller,5,3,0,Big Bubbler,1,317,ΧerΦ#1995,Splatana Wiper,3,5,1,Ultra Stamp,0,310,tori#2690,Enperry Splat Dualies,2,4,0,Triple Splashdown,0,258,cosmicx#9380,Splattershot,2,4,1,Trizooka,0,248,Petey!?#3202,Tri-Slosher Nouveau,1,3,0,Tacticooler,0,309
Asterum,2024-02-06T04:54:50.665Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMTU0MzRfMjJjYTc0YjgtZTcwZC00Y2EyLWJhYzEtNDI5N2E1NjM3ODRk,2024-01-19T01:54:34Z,1:33,Museum d'Alfonsino,Tower Control,100,0,△↑gaysicle#1673,Tenta Sorella Brella,6,0,3,Trizooka,2,422,△↑ Koreki#9390,Splatana Wiper,7,1,2,Ultra Stamp,2,414,△↑ Mizu№#7923,Tri-Slosher Nouveau,6,2,3,Tacticooler,1,357,△↑ Asterum#2660,E-liter 4K,2,2,0,Wave Breaker,1,322,SS★Minty!#1218,N-ZAP '85,2,3,1,Tacticooler,2,539,(A)#1410,Splattershot,2,4,0,Trizooka,1,388,ζ♭Stαr#9974,Splatana Stamper,2,5,0,Zipcaster,1,398,cfιτ☆りんご#,E-liter 4K Scope,undefined,undefined,undefined,Wave Breaker,undefined,0
Asterum,2024-02-06T04:54:50.665Z,VnNIaXN0b3J5RGV0YWlsLXUtcW82c3VveDZhZmlsZmkydmxubW06UFJJVkFURToyMDI0MDExOVQwMTQ3MzZfMjJjYTc0YjgtZTcwZC00Y2EyLWJhYzEtNDI5N2E1NjM3ODRk,2024-01-19T01:47:36Z,4:20,MakoMart,Clam Blitz,100,0,△↑ Asterum#2660,Splat Roller,21,5,5,Big Bubbler,4,1059,△↑ Koreki#9390,Hero Shot Replica,9,6,2,Trizooka,4,1127,△↑gaysicle#1673,Tenta Sorella Brella,13,5,5,Trizooka,3,1002,△↑ Mizu№#7923,Tri-Slosher Nouveau,8,8,4,Tacticooler,2,798,(A)#1410,Splattershot,10,8,1,Trizooka,4,1112,cfιτ☆りんご#,Splattershot Jr.,5,8,0,Big Bubbler,4,1112,ζ♭Stαr#9974,Splatana Stamper,9,10,4,Zipcaster,1,998,SS★Minty!#1218,Snipewriter 5H,8,9,3,Tacticooler,2,746
Peachy,2024-02-06T04:54:53.521Z,VnNIaXN0b3J5RGV0YWlsLXUtYWNvaTZmcXBsY3UzcWQzdmxubW06UFJJVkFURToyMDI0MDIwNlQwNDUxMjJfZDQ5MzUzZmMtM2U0YS00YzI0LTkyOTAtOWU2MmZmNDcwMTMy,2024-02-06T04:51:22Z,0:17,Mincemeat Metalworks,Splat Zones,undefined,undefined,*⌒© Pεαchγ#9611,.96 Gal,0,0,0,Ink Vac,0,176,Brenna#2502,N-ZAP '85,0,0,0,Tacticooler,0,164,,,,,,,,,,,,,,,,,Håkon#2672,Tenta Sorella Brella,0,0,0,Trizooka,0,133,,,,,,,,,,,,,,,,,,,,,,,,
Peachy,2024-02-06T04:54:53.521Z,VnNIaXN0b3J5RGV0YWlsLXUtYWNvaTZmcXBsY3UzcWQzdmxubW06UFJJVkFURToyMDI0MDIwNlQwNDQ3MTJfZDQ5MzUzZmMtM2U0YS00YzI0LTkyOTAtOWU2MmZmNDcwMTMy,2024-02-06T04:47:12Z,3:00,Barnacle & Dime,Turf War,null,null,*⌒© Pεαchγ#9611,.96 Gal,5,0,0,Ink Vac,4,1039,Brenna#2502,N-ZAP '85,4,0,4,Tacticooler,3,955,,,,,,,,,,,,,,,,,Håkon#2672,Tenta Sorella Brella,0,5,0,Trizooka,2,1042,,,,,,,,,,,,,,,,,,,,,,,,
bmay1310,2024-02-06T04:56:39.020Z,VnNIaXN0b3J5RGV0YWlsLXUtcWxldzQ0M3RtY3UzeXpxZTNubW06UFJJVkFURToyMDI0MDIwNlQwNDUxMjJfZDQ5MzUzZmMtM2U0YS00YzI0LTkyOTAtOWU2MmZmNDcwMTMy,2024-02-06T04:51:22Z,0:17,Mincemeat Metalworks,Splat Zones,undefined,undefined,*⌒© Pεαchγ#9611,.96 Gal,0,0,0,Ink Vac,0,176,Brenna#2502,N-ZAP '85,0,0,0,Tacticooler,0,164,,,,,,,,,,,,,,,,,Håkon#2672,Tenta Sorella Brella,0,0,0,Trizooka,0,133,,,,,,,,,,,,,,,,,,,,,,,,
bmay1310,2024-02-06T04:56:39.020Z,VnNIaXN0b3J5RGV0YWlsLXUtcWxldzQ0M3RtY3UzeXpxZTNubW06UFJJVkFURToyMDI0MDIwNlQwNDQ3MTJfZDQ5MzUzZmMtM2U0YS00YzI0LTkyOTAtOWU2MmZmNDcwMTMy,2024-02-06T04:47:12Z,3:00,Barnacle & Dime,Turf War,null,null,*⌒© Pεαchγ#9611,.96 Gal,5,0,0,Ink Vac,4,1039,Brenna#2502,N-ZAP '85,4,0,4,Tacticooler,3,955,,,,,,,,,,,,,,,,,Håkon#2672,Tenta Sorella Brella,0,5,0,Trizooka,2,1042,,,,,,,,,,,,,,,,,,,,,,,,
Håkon,2024-02-06T04:58:53.729Z,VnNIaXN0b3J5RGV0YWlsLXUtcWV2eGtvYXE1cjJ4Ym5yeWxubW06UFJJVkFURToyMDI0MDIwNlQwNDUxMjJfZDQ5MzUzZmMtM2U0YS00YzI0LTkyOTAtOWU2MmZmNDcwMTMy,2024-02-06T04:51:22Z,0:17,Mincemeat Metalworks,Splat Zones,undefined,undefined,Håkon#2672,Tenta Sorella Brella,0,0,0,Trizooka,0,133,,,,,,,,,,,,,,,,,,,,,,,,,*⌒© Pεαchγ#9611,.96 Gal,0,0,0,Ink Vac,0,176,Brenna#2502,N-ZAP '85,0,0,0,Tacticooler,0,164,,,,,,,,,,,,,,,,
Håkon,2024-02-06T04:58:53.729Z,VnNIaXN0b3J5RGV0YWlsLXUtcWV2eGtvYXE1cjJ4Ym5yeWxubW06UFJJVkFURToyMDI0MDIwNlQwNDQ3MTJfZDQ5MzUzZmMtM2U0YS00YzI0LTkyOTAtOWU2MmZmNDcwMTMy,2024-02-06T04:47:12Z,3:00,Barnacle & Dime,Turf War,null,null,Håkon#2672,Tenta Sorella Brella,0,5,0,Trizooka,2,1042,,,,,,,,,,,,,,,,,,,,,,,,,*⌒© Pεαchγ#9611,.96 Gal,5,0,0,Ink Vac,4,1039,Brenna#2502,N-ZAP '85,4,0,4,Tacticooler,3,955,,,,,,,,,,,,,,,,
